物品编号,物品重量,物品价值
1,36,781.67
2,5,678.65
3,47,896.87
4,51,396.01
5,78,574.54
6,31,701.20
7,40,715.67
8,74,829.38
9,18,509.91
10,40,716.90
11,21,357.06
12,59,302.97
13,25,619.38
14,79,837.64
15,21,985.66
16,90,630.45
17,20,171.62
18,75,462.97
19,84,911.31
20,8,291.42
21,5,909.58
22,61,157.18
23,79,164.55
24,78,864.52
25,41,599.30
26,6,538.11
27,66,742.70
28,32,585.04
29,87,107.27
30,53,239.54
31,26,985.95
32,16,708.40
33,82,546.34
34,11,494.68
35,68,273.54
36,10,403.05
37,27,827.52
38,45,504.38
39,5,143.80
40,47,251.43
41,5,880.38
42,66,956.68
43,87,438.84
44,11,687.10
45,28,652.52
46,26,786.96
47,15,770.96
48,68,667.39
49,20,624.56
50,14,910.61
51,39,970.44
52,96,414.25
53,54,928.99
54,22,124.34
55,94,224.41
56,66,910.20
57,93,349.52
58,32,145.57
59,82,276.93
60,8,717.74
61,83,205.58
62,73,154.67
63,9,817.49
64,60,648.49
65,5,793.47
66,21,356.07
67,95,399.44
68,48,312.64
69,75,998.54
70,30,360.53
71,3,969.62
72,99,808.54
73,47,418.53
74,6,844.96
75,21,814.79
76,53,121.79
77,21,617.44
78,62,162.88
79,96,990.10
80,27,339.73
81,32,956.36
82,50,284.64
83,76,783.84
84,87,752.02
85,31,476.64
86,70,519.92
87,93,224.85
88,73,623.39
89,83,918.08
90,41,616.12
91,13,801.98
92,87,751.81
93,15,330.68
94,84,344.33
95,87,427.40
96,8,315.58
97,44,915.12
98,29,400.16
99,24,556.24
100,11,269.58
101,87,966.68
102,80,405.75
103,19,870.50
104,27,222.46
105,87,237.74
106,82,964.97
107,3,623.51
108,10,840.70
109,44,533.57
110,97,320.52
111,68,301.47
112,67,768.94
113,13,837.17
114,7,791.86
115,63,353.19
116,64,509.39
117,96,194.45
118,3,227.84
119,10,810.63
120,39,661.07
121,55,488.00
122,33,658.25
123,24,195.59
124,44,201.20
125,66,179.72
126,84,565.98
127,27,557.93
128,82,351.90
129,36,534.59
130,53,240.89
131,63,734.59
132,79,540.31
133,10,863.06
134,30,602.44
135,99,389.00
136,46,823.09
137,66,616.35
138,4,315.43
139,54,448.59
140,9,704.13
141,52,508.13
142,45,113.05
143,63,586.59
144,1,844.68
145,50,417.75
146,1,723.59
147,12,929.76
148,8,281.22
149,84,973.42
150,95,495.06
151,100,452.38
152,25,522.69
153,51,906.23
154,35,996.27
155,91,112.20
156,23,673.53
157,30,435.25
158,78,768.16
159,23,837.55
160,25,967.46
161,89,816.74
162,42,447.33
163,56,738.12
164,2,947.18
165,9,173.88
166,27,251.75
167,44,593.43
168,56,377.41
169,28,675.22
170,49,281.63
171,64,480.32
172,47,398.97
173,50,371.03
174,71,429.98
175,2,863.15
176,68,137.33
177,64,607.74
178,75,922.04
179,35,339.55
180,37,584.04
181,52,889.63
182,68,272.23
183,47,115.87
184,6,212.81
185,76,693.93
186,4,606.75
187,95,385.90
188,8,130.66
189,23,438.25
190,86,938.70
191,22,159.84
192,34,351.07
193,2,293.03
194,36,699.12
195,24,184.80
196,66,573.53
197,96,801.74
198,64,649.84
199,15,213.99
200,82,398.54
201,76,667.17
202,53,828.04
203,71,560.25
204,91,728.73
205,25,200.95
206,83,715.84
207,95,470.67
208,20,118.42
209,42,260.38
210,71,642.60
211,61,151.49
212,74,831.96
213,3,274.88
214,52,338.34
215,19,594.34
216,82,581.11
217,72,236.87
218,25,807.39
219,54,658.44
220,84,423.09
221,38,109.75
222,72,926.17
223,64,481.88
224,24,598.63
225,11,999.80
226,38,729.75
227,93,464.90
228,62,221.62
229,30,238.00
230,45,260.55
231,94,106.69
232,95,700.74
233,86,583.22
234,15,701.30
235,81,340.99
236,45,459.23
237,14,698.61
238,100,123.21
239,44,544.46
240,69,971.59
241,33,994.15
242,23,991.20
243,48,149.22
244,43,720.40
245,22,981.73
246,23,440.80
247,80,147.86
248,6,247.35
249,11,195.35
250,8,107.81
251,66,223.56
252,7,298.24
253,18,926.19
254,43,249.16
255,81,154.60
256,63,310.14
257,53,540.63
258,18,116.57
259,32,817.03
260,51,289.66
261,24,197.43
262,86,443.81
263,23,960.01
264,59,877.00
265,95,483.99
266,61,831.30
267,44,512.73
268,13,484.53
269,100,482.85
270,88,170.71
271,7,949.69
272,44,284.24
273,88,367.42
274,23,554.94
275,5,992.65
276,5,444.06
277,45,613.15
278,39,686.32
279,14,420.35
