算法,物品数,容量,总重量,总价值,时间(ms)
Brute Force,10,1000,520,5071.83,0.00
Dynamic Programming,10,1000,520,5071.83,0.00
Greedy,10,1000,520,5071.83,0.00
Backtracking,10,1000,520,5071.83,0.00
Brute Force,10,2000,520,5071.83,0.00
Dynamic Programming,10,2000,520,5071.83,0.00
Greedy,10,2000,520,5071.83,0.00
Backtracking,10,2000,520,5071.83,0.00
Brute Force,10,5000,520,5071.83,0.00
Dynamic Programming,10,5000,520,5071.83,0.00
Greedy,10,5000,520,5071.83,0.00
Backtracking,10,5000,520,5071.83,0.00
Brute Force,10,10000,520,5071.83,0.00
Dynamic Programming,10,10000,520,5071.83,0.00
Greedy,10,10000,520,5071.83,0.00
Backtracking,10,10000,520,5071.83,0.00
Brute Force,10,20000,520,5071.83,0.00
Dynamic Programming,10,20000,520,5071.83,2.00
Greedy,10,20000,520,5071.83,0.00
Brute Force,10,30000,520,5071.83,0.00
Dynamic Programming,10,30000,520,5071.83,3.00
Greedy,10,30000,520,5071.83,0.00
Dynamic Programming,10,50000,520,5071.83,4.00
Greedy,10,50000,520,5071.83,0.00
Dynamic Programming,10,100000,520,5071.83,8.00
Greedy,10,100000,520,5071.83,0.00
Brute Force,15,1000,769,6218.58,2.00
Dynamic Programming,15,1000,769,6218.58,0.00
Greedy,15,1000,769,6218.58,0.00
Backtracking,15,1000,769,6218.58,0.00
Brute Force,15,2000,769,6218.58,3.00
Dynamic Programming,15,2000,769,6218.58,0.00
Greedy,15,2000,769,6218.58,0.00
Backtracking,15,2000,769,6218.58,0.00
Brute Force,15,5000,769,6218.58,2.00
Dynamic Programming,15,5000,769,6218.58,0.00
Greedy,15,5000,769,6218.58,0.00
Backtracking,15,5000,769,6218.58,1.00
Brute Force,15,10000,769,6218.58,2.00
Dynamic Programming,15,10000,769,6218.58,1.00
Greedy,15,10000,769,6218.58,0.00
Backtracking,15,10000,769,6218.58,0.00
Brute Force,15,20000,769,6218.58,3.00
Dynamic Programming,15,20000,769,6218.58,2.00
Greedy,15,20000,769,6218.58,0.00
Brute Force,15,30000,769,6218.58,2.00
Dynamic Programming,15,30000,769,6218.58,4.00
Greedy,15,30000,769,6218.58,0.00
Dynamic Programming,15,50000,769,6218.58,5.00
Greedy,15,50000,769,6218.58,0.00
Dynamic Programming,15,100000,769,6218.58,12.00
Greedy,15,100000,769,6218.58,0.00
Brute Force,20,1000,602,10953.90,81.00
Dynamic Programming,20,1000,602,10953.90,0.00
Greedy,20,1000,602,10953.90,0.00
Backtracking,20,1000,602,10953.90,5.00
Brute Force,20,2000,602,10953.90,81.00
Dynamic Programming,20,2000,602,10953.90,0.00
Greedy,20,2000,602,10953.90,0.00
Backtracking,20,2000,602,10953.90,5.00
Brute Force,20,5000,602,10953.90,79.00
Dynamic Programming,20,5000,602,10953.90,0.00
Greedy,20,5000,602,10953.90,0.00
Backtracking,20,5000,602,10953.90,6.00
Brute Force,20,10000,602,10953.90,80.00
Dynamic Programming,20,10000,602,10953.90,1.00
Greedy,20,10000,602,10953.90,0.00
Backtracking,20,10000,602,10953.90,4.00
Brute Force,20,20000,602,10953.90,79.00
Dynamic Programming,20,20000,602,10953.90,3.00
Greedy,20,20000,602,10953.90,0.00
Brute Force,20,30000,602,10953.90,80.00
Dynamic Programming,20,30000,602,10953.90,5.00
Greedy,20,30000,602,10953.90,0.00
Dynamic Programming,20,50000,602,10953.90,8.00
Greedy,20,50000,602,10953.90,0.00
Dynamic Programming,20,100000,602,10953.90,14.00
Greedy,20,100000,602,10953.90,0.00
Brute Force,25,1000,975,13639.94,2928.00
Dynamic Programming,25,1000,975,13639.94,0.00
Greedy,25,1000,975,13639.94,0.00
Backtracking,25,1000,975,13639.94,172.00
Brute Force,25,2000,1233,14331.57,3062.00
Dynamic Programming,25,2000,1233,14331.57,0.00
Greedy,25,2000,1233,14331.57,0.00
Backtracking,25,2000,1233,14331.57,174.00
Brute Force,25,5000,1233,14331.57,3309.00
Dynamic Programming,25,5000,1233,14331.57,1.00
Greedy,25,5000,1233,14331.57,0.00
Backtracking,25,5000,1233,14331.57,159.00
Brute Force,25,10000,1233,14331.57,2887.00
Dynamic Programming,25,10000,1233,14331.57,2.00
Greedy,25,10000,1233,14331.57,0.00
Backtracking,25,10000,1233,14331.57,160.00
Brute Force,25,20000,1233,14331.57,2884.00
Dynamic Programming,25,20000,1233,14331.57,3.00
Greedy,25,20000,1233,14331.57,0.00
Brute Force,25,30000,1233,14331.57,2951.00
Dynamic Programming,25,30000,1233,14331.57,5.00
Greedy,25,30000,1233,14331.57,0.00
Dynamic Programming,25,50000,1233,14331.57,11.00
Greedy,25,50000,1233,14331.57,0.00
Dynamic Programming,25,100000,1233,14331.57,26.00
Greedy,25,100000,1233,14331.57,0.00
Brute Force,30,1000,1000,16932.06,107610.00
Dynamic Programming,30,1000,1000,16932.06,0.00
Greedy,30,1000,970,16790.32,0.00
Backtracking,30,1000,1000,16932.06,5540.00
Brute Force,30,2000,1236,17732.23,106099.00
Dynamic Programming,30,2000,1236,17732.23,0.00
Greedy,30,2000,1236,17732.23,0.00
Backtracking,30,2000,1236,17732.23,5165.00
Brute Force,30,5000,1236,17732.23,102690.00
Dynamic Programming,30,5000,1236,17732.23,1.00
Greedy,30,5000,1236,17732.23,0.00
Backtracking,30,5000,1236,17732.23,5328.00
Brute Force,30,10000,1236,17732.23,106171.00
Dynamic Programming,30,10000,1236,17732.23,2.00
Greedy,30,10000,1236,17732.23,0.00
Backtracking,30,10000,1236,17732.23,5156.00
Brute Force,30,20000,1236,17732.23,102894.00
Dynamic Programming,30,20000,1236,17732.23,5.00
Greedy,30,20000,1236,17732.23,0.00
Brute Force,30,30000,1236,17732.23,101994.00
Dynamic Programming,30,30000,1236,17732.23,6.00
Greedy,30,30000,1236,17732.23,0.00
